State,County,County_State,ALAND,AWATER,ALAND_SQMI,AWATER_SQMI,Latitude,Longitude,countyFIPS,g
VA,Alleghany County,"Alleghany County, VA",1156608818,8170515,446.569,3.155,37.787905,-80.008669,37005,37005
VA,Amelia County,"Amelia County, VA",920379346,8188217,355.36,3.161,37.331927,-77.977462,51007,51007
VA,Amherst County,"Amherst County, VA",1227554628,12898694,473.962,4.98,37.629304,-79.154667,51009,51009
VA,Appomattox County,"Appomattox County, VA",865622498,3219010,334.219,1.243,37.370725,-78.81094,51011,51011
VA,Arlington County,"Arlington County, VA",67332991,273562,25.997,0.106,38.878337,-77.100703,51013,51013
VA,Augusta County,"Augusta County, VA",2504708348,9537633,967.073,3.683,38.171911,-79.147557,51015,51015
VA,Bath County,"Bath County, VA",1370626056,14039993,529.202,5.421,38.068368,-79.731203,21011,21011
VA,Bedford County,"Bedford County, VA",1968605128,42118517,760.083,16.262,37.312257,-79.527223,42009,42009
VA,Bland County,"Bland County, VA",926311270,2547183,357.651,0.983,37.130612,-81.125853,51021,51021
VA,Botetourt County,"Botetourt County, VA",1401900525,12124670,541.277,4.681,37.565482,-79.797546,51023,51023
VA,Brunswick County,"Brunswick County, VA",1466538259,8383474,566.234,3.237,36.764204,-77.861483,37019,37019
VA,Buchanan County,"Buchanan County, VA",1302386904,2804451,502.854,1.083,37.26812,-82.038151,19019,19019
VA,Buckingham County,"Buckingham County, VA",1501215438,9911855,579.623,3.827,37.573928,-78.529169,51029,51029
VA,Campbell County,"Campbell County, VA",1303300941,8894442,503.207,3.434,37.210152,-79.095428,21037,21037
VA,Caroline County,"Caroline County, VA",1366502847,24928486,527.61,9.625,38.030319,-77.352348,24011,24011
VA,Carroll County,"Carroll County, VA",1229582397,7586189,474.744,2.929,36.731963,-80.727831,5015,5015
VA,Charles City County,"Charles City County, VA",473711563,55274680,182.901,21.342,37.361054,-77.05417,51036,51036
VA,Charlotte County,"Charlotte County, VA",1231010119,5809378,475.296,2.243,37.009042,-78.658568,12015,12015
